age,amt,city_NewYork,days_since_last_transaction,is_fraud,merchant_transactions_count,month_cos,month_sin,weekday_cos,weekday_sin
59,422.26,0,23.643,0,0,-0.0,-1.0,-0.901,0.434
59,99.9,0,56.465,0,0,-0.866,-0.5,-0.901,-0.434
59,71.98,0,7.718,0,0,-0.5,-0.866,-0.901,-0.434
59,322.43,0,17.016,0,0,-0.5,0.866,0.623,0.782
59,400.13,0,36.637,0,0,0.866,0.5,-0.901,-0.434
59,275.88,0,45.128,0,0,-0.5,0.866,-0.223,-0.975
59,235.06,0,3.97,0,0,-0.866,0.5,-0.901,-0.434
52,125.52,0,0.0,0,0,1.0,0.0,-0.901,0.434
52,394.29,0,82.438,0,0,-0.5,0.866,-0.223,0.975
52,139.24,0,86.099,0,0,0.866,-0.5,-0.901,-0.434
52,296.61,0,3.065,0,0,1.0,0.0,0.623,-0.782
52,32.74,0,18.731,0,0,-0.5,-0.866,-0.223,0.975
52,287.57,0,32.74,0,0,0.5,0.866,-0.901,-0.434
52,356.79,0,70.325,0,0,-0.866,-0.5,-0.223,-0.975
52,489.54,0,19.307,0,0,0.866,-0.5,-0.901,0.434
52,117.64,0,23.261,0,0,-0.866,0.5,-0.901,-0.434
64,15.56,1,12.687,0,0,-0.5,-0.866,0.623,0.782
64,424.95,1,51.613,0,0,0.866,0.5,-0.901,0.434
64,34.48,1,82.305,0,1,-0.5,0.866,0.623,0.782
64,39.45,1,12.85,0,0,-0.5,-0.866,1.0,0.0
64,255.72,1,26.63,0,0,-0.866,0.5,0.623,-0.782
64,117.43,1,41.879,0,0,-0.866,-0.5,-0.223,0.975
64,205.74,1,0.0,0,0,1.0,0.0,1.0,0.0
64,121.03,1,15.905,0,0,-0.0,-1.0,-0.223,0.975
64,259.64,1,37.967,0,0,-1.0,0.0,-0.223,0.975
53,195.8,0,15.218,0,0,-0.866,-0.5,0.623,0.782
53,234.39,0,55.855,0,0,-0.0,-1.0,1.0,0.0
53,365.7,0,69.273,0,0,-0.5,0.866,0.623,-0.782
53,171.77,0,36.228,0,0,-0.866,-0.5,1.0,0.0
53,287.19,0,0.0,0,0,0.866,0.5,1.0,0.0
53,366.49,0,2.748,0,0,-0.866,-0.5,1.0,0.0
53,14.23,0,3.345,0,0,-0.866,-0.5,-0.901,-0.434
53,66.2,0,55.697,0,0,-1.0,0.0,0.623,-0.782
59,481.36,0,10.137,0,0,0.866,-0.5,-0.223,-0.975
59,36.78,0,109.1,0,0,-0.866,-0.5,-0.223,0.975
59,203.33,0,15.412,0,0,0.866,-0.5,-0.901,0.434
59,475.16,0,0.0,0,0,1.0,0.0,1.0,0.0
59,100.8,0,25.526,0,0,-0.5,-0.866,1.0,0.0
59,281.05,0,59.394,0,0,0.5,-0.866,-0.901,0.434
59,219.87,0,10.317,0,0,0.5,-0.866,1.0,0.0
59,402.74,0,4.517,0,0,0.866,-0.5,1.0,0.0
59,36.43,0,47.556,0,0,0.5,0.866,-0.223,-0.975
59,82.17,0,49.271,0,0,0.0,1.0,-0.223,-0.975
59,31.55,0,8.128,0,0,0.866,-0.5,-0.223,0.975
59,472.93,0,1.805,0,0,0.5,-0.866,-0.223,0.975
49,26.24,1,16.218,1,0,-0.866,0.5,-0.223,0.975
49,259.34,1,150.666,0,0,-0.866,0.5,1.0,0.0
49,23.24,1,0.0,0,0,1.0,0.0,-0.901,0.434
49,416.47,1,20.21,0,0,-0.5,-0.866,-0.223,-0.975
49,495.15,1,59.414,0,0,-0.866,-0.5,0.623,-0.782
49,230.99,1,59.628,0,0,0.5,-0.866,0.623,0.782
30,7.04,0,24.812,0,0,0.866,0.5,0.623,-0.782
30,397.54,0,0.0,0,0,0.866,0.5,-0.901,0.434
30,423.42,0,78.261,0,0,-0.5,0.866,0.623,0.782
53,412.89,0,0.366,0,0,0.866,-0.5,-0.901,-0.434
54,18.25,0,2.443,0,1,0.5,0.866,0.623,-0.782
54,167.55,0,1.316,0,2,0.5,0.866,-0.901,0.434
54,240.74,0,5.128,0,0,1.0,0.0,0.623,-0.782
54,454.71,0,2.439,0,0,1.0,0.0,-0.901,0.434
54,122.39,0,0.121,0,1,1.0,0.0,0.623,-0.782
54,427.26,0,4.616,0,0,-1.0,0.0,-0.223,-0.975
54,218.36,0,0.935,0,0,0.5,0.866,-0.901,-0.434
54,82.53,0,1.831,0,0,1.0,0.0,0.623,0.782
54,374.72,0,0.887,0,1,-0.5,0.866,1.0,0.0
54,479.51,0,1.756,0,2,-0.5,-0.866,-0.223,-0.975
54,37.62,0,1.991,0,0,-0.5,0.866,-0.901,-0.434
54,65.95,0,2.782,0,1,-0.5,0.866,0.623,0.782
54,66.93,0,0.285,0,2,-1.0,0.0,-0.901,0.434
53,234.44,0,5.82,0,0,0.5,-0.866,-0.223,0.975
53,306.96,0,0.713,0,1,0.5,-0.866,0.623,0.782
54,170.51,0,1.903,0,2,0.0,1.0,-0.223,0.975
54,343.08,0,1.524,0,3,-1.0,0.0,1.0,0.0
54,407.39,0,2.823,0,0,-0.866,0.5,1.0,0.0
54,460.81,0,0.045,0,1,-0.5,-0.866,1.0,0.0
53,199.68,0,3.728,0,0,0.5,-0.866,0.623,-0.782
54,495.27,0,2.433,0,1,-0.866,-0.5,-0.223,0.975
54,411.68,0,3.096,0,0,-1.0,0.0,-0.223,0.975
54,221.96,0,2.33,0,1,-0.0,-1.0,-0.901,0.434
54,346.02,0,5.298,0,2,-0.0,-1.0,-0.223,-0.975
54,94.92,0,0.589,0,0,0.866,0.5,-0.223,-0.975
54,180.76,0,0.791,0,1,-0.866,0.5,0.623,-0.782
54,346.37,0,0.096,0,2,-0.866,0.5,0.623,0.782
54,1.65,0,1.195,0,3,-0.866,-0.5,-0.901,-0.434
54,121.05,0,0.31,0,0,-0.5,0.866,-0.223,0.975
54,48.03,0,0.616,0,1,-0.866,-0.5,0.623,-0.782
53,388.74,0,0.474,0,0,0.5,-0.866,-0.223,0.975
53,25.36,0,1.621,0,1,0.866,-0.5,-0.901,-0.434
54,128.92,0,1.166,0,2,0.5,0.866,-0.223,0.975
54,470.76,0,6.687,0,3,-0.0,-1.0,0.623,0.782
54,266.08,0,4.623,0,0,-1.0,0.0,-0.901,0.434
54,303.08,0,1.764,0,1,-0.866,-0.5,-0.223,0.975
54,108.61,0,1.16,0,2,-0.0,-1.0,-0.223,-0.975
54,467.14,0,1.949,0,0,-1.0,0.0,-0.223,0.975
54,54.23,0,1.307,0,1,-1.0,0.0,0.623,-0.782
54,9.58,0,3.256,0,2,-0.866,-0.5,-0.223,-0.975
54,310.28,0,2.675,0,3,-0.0,-1.0,0.623,0.782
54,272.86,0,1.002,0,0,-0.866,-0.5,-0.901,0.434
54,38.76,0,3.642,0,0,1.0,0.0,0.623,0.782
54,421.29,0,0.162,0,0,1.0,0.0,0.623,-0.782
54,481.26,0,0.332,0,0,-0.866,0.5,1.0,0.0
54,118.0,0,3.408,0,0,0.5,0.866,0.623,-0.782
54,6.62,0,0.004,0,1,0.5,0.866,1.0,0.0
54,110.39,0,6.445,0,2,-0.5,0.866,0.623,-0.782
54,3.35,0,0.454,0,0,0.866,0.5,-0.223,0.975
54,156.36,0,0.466,0,1,-1.0,0.0,-0.901,0.434
54,220.52,0,1.291,0,0,0.0,1.0,-0.901,-0.434
54,462.43,0,0.728,0,0,-0.5,-0.866,0.623,0.782
54,225.84,0,1.073,0,1,-0.0,-1.0,-0.901,0.434
54,62.46,0,0.622,0,0,1.0,0.0,1.0,0.0
54,424.83,0,0.131,0,1,-0.866,-0.5,-0.901,0.434
54,72.04,0,3.712,0,0,-0.0,-1.0,-0.223,0.975
54,80.66,0,0.344,0,1,-0.0,-1.0,0.623,-0.782
54,100.81,0,4.63,0,0,-0.866,-0.5,-0.901,0.434
53,257.39,0,0.0,0,0,0.5,-0.866,-0.223,0.975
53,441.21,0,0.408,1,0,0.5,-0.866,-0.223,-0.975
54,147.91,0,0.687,0,0,1.0,0.0,1.0,0.0
54,234.88,0,0.961,0,0,-0.866,0.5,1.0,0.0
54,207.74,0,7.216,0,0,-0.5,-0.866,-0.901,0.434
53,264.95,0,1.761,0,0,0.5,-0.866,-0.901,-0.434
53,310.26,0,1.583,0,1,0.866,-0.5,0.623,-0.782
54,122.09,0,1.151,0,2,-1.0,0.0,-0.901,-0.434
53,359.97,0,3.561,0,0,0.866,-0.5,-0.901,0.434
54,234.26,0,1.223,0,1,-0.866,-0.5,1.0,0.0
54,210.11,0,1.287,0,0,1.0,0.0,-0.901,0.434
54,492.98,0,1.377,0,1,-1.0,0.0,-0.901,0.434
54,18.14,0,2.752,1,2,-0.866,-0.5,1.0,0.0
54,374.0,0,1.099,0,3,-0.0,-1.0,0.623,-0.782
54,77.27,0,5.82,0,0,0.5,0.866,1.0,0.0
54,341.45,0,0.034,0,1,0.0,1.0,0.623,-0.782
54,250.41,0,0.167,0,2,-0.0,-1.0,-0.223,-0.975
53,350.95,0,4.898,0,0,0.5,-0.866,1.0,0.0
54,32.75,0,3.751,0,1,0.866,0.5,-0.223,-0.975
54,316.67,0,1.143,0,2,-0.866,0.5,0.623,0.782
54,34.32,0,0.049,0,0,-0.5,0.866,-0.901,0.434
54,371.5,0,4.057,0,0,-0.5,0.866,1.0,0.0
54,176.04,0,3.003,0,0,0.866,0.5,1.0,0.0
54,224.13,0,4.739,0,0,-0.5,-0.866,-0.901,0.434
54,196.83,0,0.226,0,0,0.5,0.866,-0.901,-0.434
54,193.07,0,1.949,0,1,-1.0,0.0,-0.223,-0.975
54,13.79,0,2.753,0,2,-0.866,-0.5,-0.901,0.434
53,42.8,0,0.61,0,0,0.866,-0.5,0.623,-0.782
54,190.12,0,1.783,0,1,1.0,0.0,0.623,0.782
54,198.56,0,1.004,0,2,0.5,0.866,0.623,0.782
54,174.99,0,0.719,0,3,0.0,1.0,1.0,0.0
53,92.11,0,1.24,0,0,0.5,-0.866,0.623,0.782
54,470.03,0,2.582,0,1,1.0,0.0,-0.901,0.434
54,164.95,0,0.079,0,2,-0.5,-0.866,-0.223,-0.975
54,306.76,0,1.637,0,0,-0.866,0.5,-0.223,-0.975
54,293.18,0,1.238,0,0,-0.866,-0.5,0.623,-0.782
53,423.99,0,8.185,0,0,0.866,-0.5,-0.223,0.975
54,70.89,0,1.691,0,1,0.5,0.866,0.623,0.782
54,144.46,0,0.692,0,0,1.0,0.0,-0.901,-0.434
54,86.98,0,0.238,0,0,0.5,0.866,1.0,0.0
54,482.97,0,4.0,0,1,-1.0,0.0,0.623,0.782
54,58.46,0,4.74,0,2,-0.5,-0.866,1.0,0.0
54,68.63,0,1.304,0,0,-0.866,-0.5,-0.223,-0.975
54,73.8,0,1.55,0,0,0.5,0.866,-0.901,0.434
54,433.08,0,14.751,0,1,0.0,1.0,1.0,0.0
54,168.9,0,4.346,0,2,-0.866,0.5,-0.901,-0.434
54,391.05,0,1.916,0,0,0.866,0.5,0.623,0.782
54,288.07,0,2.37,0,1,-0.5,-0.866,-0.901,0.434
54,432.1,0,0.614,0,2,-0.0,-1.0,-0.901,-0.434
53,187.34,0,2.157,1,0,0.866,-0.5,0.623,0.782
54,453.66,0,0.085,0,0,-1.0,0.0,-0.223,-0.975
54,416.97,0,0.196,0,0,-0.866,0.5,0.623,-0.782
53,160.36,0,2.974,0,0,0.866,-0.5,-0.223,-0.975
54,84.81,0,2.952,0,1,0.0,1.0,-0.223,-0.975
53,362.84,0,5.359,0,0,0.866,-0.5,-0.223,0.975
54,265.43,0,0.903,0,1,0.5,0.866,1.0,0.0
54,478.5,0,7.219,0,2,0.5,0.866,1.0,0.0
54,144.76,0,0.489,0,3,0.5,0.866,0.623,0.782
54,106.25,0,2.931,0,0,0.0,1.0,1.0,0.0
54,174.06,0,4.189,0,0,0.866,0.5,1.0,0.0
54,332.33,0,2.095,0,1,-0.866,0.5,-0.901,0.434
54,311.18,0,0.946,0,2,-0.0,-1.0,-0.223,0.975
53,31.75,0,0.652,0,0,0.866,-0.5,1.0,0.0
54,352.09,0,5.759,0,1,1.0,0.0,1.0,0.0
54,483.79,0,6.816,0,2,-0.866,0.5,0.623,-0.782
53,458.83,0,0.199,0,0,0.5,-0.866,-0.223,0.975
54,347.07,0,5.127,0,1,0.866,0.5,-0.901,-0.434
54,406.75,0,5.616,0,2,0.866,0.5,1.0,0.0
54,147.87,0,0.535,0,0,1.0,0.0,-0.223,-0.975
54,254.59,0,0.6,0,1,0.866,0.5,-0.901,0.434
54,53.38,0,0.574,0,2,0.0,1.0,0.623,-0.782
54,12.55,0,1.016,0,3,-0.5,0.866,-0.223,-0.975
54,307.7,0,0.359,0,0,-0.5,0.866,-0.901,0.434
54,114.84,0,1.154,0,1,-0.0,-1.0,-0.223,-0.975
53,180.8,0,1.473,0,0,0.866,-0.5,0.623,-0.782
54,476.33,0,0.882,0,1,1.0,0.0,0.623,-0.782
54,310.87,0,1.859,0,2,-0.5,0.866,-0.223,0.975
54,141.97,0,0.53,0,3,-0.5,0.866,-0.901,0.434
54,59.66,0,0.07,0,4,-0.5,0.866,-0.901,0.434
54,278.9,0,0.878,0,5,-0.866,0.5,0.623,-0.782
54,136.6,0,6.121,0,0,-1.0,0.0,1.0,0.0
54,247.4,0,0.578,0,0,1.0,0.0,-0.901,-0.434
54,343.0,0,7.075,0,1,-0.5,-0.866,-0.901,0.434
53,187.8,0,0.178,0,0,0.866,-0.5,-0.901,-0.434
54,442.21,0,3.441,0,0,-0.5,0.866,-0.901,0.434
53,426.01,0,1.087,0,0,0.5,-0.866,-0.901,0.434
54,459.87,0,0.229,0,1,-0.0,-1.0,-0.223,-0.975
54,81.55,0,0.035,0,0,-0.5,0.866,0.623,0.782
54,353.35,0,3.197,0,1,-0.5,0.866,-0.901,0.434
54,136.92,0,3.414,0,0,1.0,0.0,0.623,-0.782
54,416.52,0,2.403,0,1,0.866,0.5,-0.223,0.975
54,398.83,0,1.912,0,2,0.866,0.5,-0.223,0.975
54,401.59,0,3.182,0,0,-1.0,0.0,-0.901,-0.434
54,407.7,0,1.52,0,1,-0.866,-0.5,-0.223,-0.975
54,21.13,0,0.317,0,2,-0.0,-1.0,-0.901,0.434
54,84.29,0,5.468,0,0,0.0,1.0,-0.223,0.975
54,463.68,0,0.49,0,1,-0.866,0.5,1.0,0.0
54,224.09,0,1.077,0,0,-0.0,-1.0,0.623,-0.782
54,436.49,0,2.564,0,0,1.0,0.0,-0.223,-0.975
53,14.54,0,0.67,0,0,0.5,-0.866,-0.223,-0.975
53,158.43,0,3.947,0,1,0.5,-0.866,-0.223,0.975
54,426.38,0,1.824,0,0,-0.866,0.5,-0.223,-0.975
54,269.0,0,2.42,0,0,-0.866,-0.5,1.0,0.0
53,44.81,0,0.069,0,0,0.866,-0.5,-0.223,-0.975
54,343.67,0,2.118,0,1,-0.5,0.866,-0.901,0.434
54,110.64,0,0.445,0,2,-0.866,0.5,0.623,-0.782
54,394.08,0,2.279,0,3,-0.5,-0.866,-0.223,-0.975
54,125.75,0,0.469,0,0,0.0,1.0,0.623,-0.782
54,497.92,0,0.724,0,0,0.5,0.866,0.623,0.782
54,222.38,0,0.848,0,1,-0.866,0.5,-0.901,0.434
53,460.97,0,0.272,0,0,0.5,-0.866,-0.223,0.975
53,197.95,0,1.283,0,1,0.5,-0.866,1.0,0.0
54,407.44,0,2.353,0,2,-0.5,0.866,0.623,-0.782
17,262.18,0,0.0,0,0,-0.5,0.866,0.623,0.782
17,68.26,0,129.295,0,0,0.866,-0.5,-0.223,-0.975
17,30.91,0,7.865,0,0,-0.866,0.5,-0.223,0.975
17,260.29,0,28.275,0,0,-0.866,0.5,0.623,0.782
17,279.63,0,18.053,0,0,-0.866,-0.5,-0.223,0.975
17,110.14,0,23.247,0,0,-1.0,0.0,-0.223,-0.975
19,221.33,0,64.677,0,0,-1.0,0.0,0.623,0.782
19,330.44,0,14.149,0,0,-0.866,-0.5,0.623,0.782
19,36.8,0,44.155,0,0,0.866,0.5,1.0,0.0
19,230.19,0,70.154,0,0,-0.5,0.866,0.623,-0.782
19,230.72,0,3.036,0,0,-0.866,-0.5,-0.901,-0.434
19,438.28,0,0.0,0,0,1.0,0.0,-0.901,-0.434
19,334.11,0,13.436,0,1,0.5,0.866,0.623,-0.782
19,364.06,0,20.951,0,2,-0.866,-0.5,-0.901,-0.434
53,19.09,0,0.434,0,0,-0.5,0.866,-0.901,-0.434
53,224.9,0,0.989,0,1,-0.5,-0.866,-0.901,0.434
53,305.56,0,1.629,0,2,-0.0,-1.0,-0.223,0.975
53,25.34,0,0.442,0,0,0.0,1.0,-0.901,0.434
53,160.08,0,1.464,0,1,-0.0,-1.0,0.623,-0.782
52,148.93,0,0.567,0,0,0.5,-0.866,-0.901,-0.434
53,192.81,0,4.118,0,1,0.5,0.866,-0.223,-0.975
53,366.18,0,3.337,0,2,0.0,1.0,0.623,-0.782
53,168.24,0,0.654,0,0,-0.866,0.5,1.0,0.0
53,178.25,0,0.471,0,1,-0.5,-0.866,-0.901,0.434
53,229.37,0,1.413,0,0,-0.866,0.5,1.0,0.0
53,238.6,0,0.567,0,1,-0.5,-0.866,-0.223,0.975
52,128.45,0,0.511,0,0,0.5,-0.866,-0.901,0.434
53,426.78,0,1.388,0,1,0.5,0.866,1.0,0.0
53,456.64,0,0.25,0,2,-0.5,0.866,-0.901,-0.434
52,453.87,0,0.901,0,0,0.5,-0.866,-0.901,-0.434
53,322.33,0,4.157,0,1,0.866,0.5,-0.223,-0.975
53,96.04,0,3.529,0,2,-1.0,0.0,0.623,0.782
53,240.61,0,0.808,0,3,-0.866,-0.5,-0.223,-0.975
53,314.35,0,3.623,0,4,-0.5,-0.866,1.0,0.0
53,470.52,0,0.189,0,5,-0.0,-1.0,-0.223,0.975
53,424.89,0,4.2,0,0,1.0,0.0,-0.223,0.975
53,35.76,0,1.627,0,1,1.0,0.0,0.623,0.782
53,100.25,0,0.004,0,2,-0.866,0.5,1.0,0.0
53,270.63,0,0.851,0,3,-1.0,0.0,0.623,-0.782
53,401.21,0,0.66,0,0,-0.5,-0.866,1.0,0.0
53,38.61,0,4.164,0,0,1.0,0.0,-0.901,0.434
52,253.66,0,6.552,0,0,0.5,-0.866,-0.223,-0.975
53,99.53,0,0.753,0,0,0.5,0.866,0.623,0.782
53,283.59,0,5.204,0,1,-0.5,-0.866,-0.223,0.975
53,377.54,0,3.595,0,2,-0.0,-1.0,-0.223,-0.975
52,407.16,0,0.037,0,0,0.5,-0.866,-0.223,-0.975
53,271.21,0,1.629,0,0,-0.866,-0.5,-0.901,0.434
52,102.39,0,2.085,0,0,0.866,-0.5,0.623,-0.782
53,343.86,0,0.583,0,1,1.0,0.0,0.623,0.782
53,261.84,0,1.098,0,2,-0.866,-0.5,1.0,0.0
53,454.6,0,5.42,0,3,-0.0,-1.0,-0.901,-0.434
52,161.32,0,0.554,0,0,0.5,-0.866,-0.223,-0.975
52,322.64,0,0.173,0,1,0.5,-0.866,-0.223,-0.975
53,204.23,0,1.444,0,2,-0.5,-0.866,0.623,-0.782
52,37.03,0,0.159,0,0,0.5,-0.866,0.623,-0.782
53,221.52,0,0.847,0,1,1.0,0.0,0.623,0.782
53,264.46,0,0.023,0,2,1.0,0.0,-0.901,0.434
53,126.06,0,0.193,0,3,0.0,1.0,1.0,0.0
53,446.19,0,0.802,0,4,-0.5,0.866,0.623,0.782
53,440.69,0,0.678,0,5,-0.5,-0.866,-0.901,0.434
53,498.24,0,0.661,0,0,0.0,1.0,-0.901,0.434
53,88.52,0,2.707,0,1,0.0,1.0,1.0,0.0
53,225.19,0,2.126,0,2,0.0,1.0,0.623,0.782
53,397.91,0,0.106,0,3,-0.5,0.866,0.623,0.782
53,103.42,0,0.925,0,4,-1.0,0.0,0.623,-0.782
53,253.44,0,0.042,0,5,-0.5,-0.866,-0.901,-0.434
52,321.1,0,4.96,0,0,0.866,-0.5,0.623,0.782
53,309.91,0,1.589,0,1,-0.5,0.866,-0.223,0.975
53,130.7,0,0.353,1,2,-0.5,-0.866,1.0,0.0
53,278.63,0,0.442,0,0,-0.866,0.5,1.0,0.0
52,278.6,0,2.792,0,0,0.866,-0.5,-0.223,-0.975
52,91.6,0,0.1,0,0,0.5,-0.866,-0.223,-0.975
53,368.07,0,7.196,0,1,-0.5,0.866,0.623,0.782
53,275.87,0,1.37,0,0,0.0,1.0,-0.901,0.434
53,148.96,0,1.731,0,1,-0.0,-1.0,0.623,0.782
52,258.67,0,1.725,0,0,0.5,-0.866,1.0,0.0
53,310.18,0,1.293,0,1,-1.0,0.0,1.0,0.0
53,168.09,0,1.367,0,0,1.0,0.0,-0.223,-0.975
53,451.74,0,0.175,0,0,0.0,1.0,1.0,0.0
53,371.75,0,1.647,0,1,-0.5,0.866,1.0,0.0
53,284.05,0,1.879,0,2,-1.0,0.0,-0.223,-0.975
52,75.59,0,1.278,0,0,0.866,-0.5,0.623,0.782
53,164.46,0,0.916,0,1,1.0,0.0,1.0,0.0
53,74.41,0,1.472,0,2,0.0,1.0,-0.901,0.434
53,323.94,0,1.603,0,3,-0.5,0.866,-0.901,0.434
53,62.87,0,2.032,0,4,-0.5,-0.866,0.623,-0.782
53,362.51,0,0.807,0,0,1.0,0.0,0.623,-0.782
53,398.61,0,3.617,0,1,0.866,0.5,0.623,0.782
53,316.63,0,2.932,0,2,0.5,0.866,1.0,0.0
53,370.11,0,3.9,0,3,-0.5,0.866,-0.223,-0.975
53,476.41,0,1.816,0,4,-0.866,-0.5,-0.223,-0.975
53,214.52,0,0.8,0,0,0.866,0.5,-0.223,0.975
53,252.31,0,0.761,0,1,-1.0,0.0,0.623,0.782
53,14.93,0,4.313,0,2,-0.866,-0.5,-0.901,0.434
53,194.17,0,0.778,0,0,0.866,0.5,0.623,0.782
53,215.23,0,2.526,0,1,-0.866,0.5,-0.901,-0.434
53,393.98,0,8.744,0,0,0.866,0.5,1.0,0.0
53,245.92,0,1.198,0,0,-0.5,0.866,0.623,0.782
53,450.11,0,2.993,0,0,0.5,0.866,-0.223,0.975
53,353.01,0,1.563,0,1,-0.0,-1.0,-0.901,-0.434
53,429.72,0,1.264,0,0,-1.0,0.0,-0.901,0.434
53,123.08,0,3.633,0,1,-0.866,-0.5,0.623,0.782
53,74.76,0,0.323,0,0,1.0,0.0,0.623,0.782
53,409.15,0,1.104,0,1,1.0,0.0,1.0,0.0
52,402.82,0,0.518,1,0,0.5,-0.866,-0.901,-0.434
53,243.59,0,0.126,0,1,-0.866,0.5,0.623,0.782
53,63.79,0,4.12,0,0,1.0,0.0,-0.223,-0.975
53,143.95,0,0.897,0,1,0.0,1.0,-0.901,-0.434
52,89.21,0,2.455,0,0,0.866,-0.5,-0.223,-0.975
53,49.4,0,3.293,0,1,0.866,0.5,-0.223,-0.975
53,17.1,0,1.038,0,2,-0.5,0.866,-0.223,0.975
53,333.04,0,0.735,0,3,-0.5,-0.866,0.623,0.782
53,177.67,0,2.974,0,0,-1.0,0.0,1.0,0.0
53,311.04,0,2.889,0,0,-0.5,-0.866,-0.901,-0.434
53,5.33,0,2.839,0,1,-0.0,-1.0,-0.223,-0.975
53,447.79,0,4.61,0,0,-0.866,-0.5,-0.901,-0.434
53,24.78,0,1.609,0,1,-0.5,-0.866,-0.223,0.975
53,45.77,0,0.518,0,0,-1.0,0.0,1.0,0.0
53,132.73,0,0.779,0,0,0.5,0.866,-0.223,-0.975
53,209.35,0,4.51,0,1,-0.866,0.5,-0.223,-0.975
52,370.25,0,0.039,0,0,0.866,-0.5,-0.223,0.975
53,436.62,0,0.082,0,1,1.0,0.0,-0.223,-0.975
53,236.32,0,3.514,0,2,-0.866,0.5,-0.901,0.434
53,175.1,0,1.126,0,0,1.0,0.0,0.623,-0.782
53,98.73,0,1.787,0,0,0.866,0.5,-0.901,0.434
53,187.12,0,0.297,0,0,0.866,0.5,0.623,0.782
53,116.08,0,3.289,0,1,0.0,1.0,-0.223,0.975
52,379.68,0,5.598,0,0,0.866,-0.5,0.623,-0.782
53,404.03,0,2.581,0,0,0.0,1.0,1.0,0.0
53,216.73,0,0.603,0,1,-1.0,0.0,-0.223,-0.975
53,50.56,0,0.47,0,0,0.0,1.0,-0.901,0.434
